ANNO;CODICE_MESE;NOME_MESE;CODICE_PRODOTTO;NOME_PRODOTTO;PREZZO;IVA;ACCISA;NETTO
1996;16;Terzo Trimestre;3;Gasolio riscaldamento;699,01;111,61;386,04;201,36
1996;16;Terzo Trimestre;5;GPL;0,00;0,00;0,00;0,00
1996;16;Terzo Trimestre;6;O.C. fluido BTZ;395,62;63,17;143,03;189,42
1996;16;Terzo Trimestre;8;O.C. denso BTZ;142,47;0,00;23,24;119,23
1996;17;Quarto Trimestre;1;Benzina;934,96;149,28;527,96;257,72
1996;17;Quarto Trimestre;2;Diesel;764,38;122,04;386,04;256,30
1996;17;Quarto Trimestre;3;Gasolio riscaldamento;743,56;118,72;386,04;238,80
1996;17;Quarto Trimestre;5;GPL;0,00;0,00;0,00;0,00
1996;17;Quarto Trimestre;6;O.C. fluido BTZ;406,28;64,87;143,03;198,38
1996;17;Quarto Trimestre;8;O.C. denso BTZ;152,78;0,00;23,24;129,54
1997;1;Gennaio;1;Benzina;938,82;149,90;527,96;260,96
1997;1;Gennaio;2;Diesel;762,57;121,76;386,04;254,78
1997;1;Gennaio;3;Gasolio riscaldamento;742,60;118,57;386,04;237,99
1997;1;Gennaio;5;GPL;0,00;0,00;0,00;0,00
1997;1;Gennaio;6;O.C. fluido BTZ;405,40;64,73;143,03;197,64
1997;1;Gennaio;7;O.C. ATZ;156,07;0,00;46,48;109,59
1997;1;Gennaio;8;O.C. denso BTZ;151,98;0,00;23,24;128,74
1997;2;Febbraio;1;Benzina;942,26;150,45;527,96;263,85
1997;2;Febbraio;2;Diesel;759,08;121,20;386,04;251,85
1997;2;Febbraio;3;Gasolio riscaldamento;739,58;118,09;386,04;235,46
1997;2;Febbraio;5;GPL;0,00;0,00;0,00;0,00
1997;2;Febbraio;6;O.C. fluido BTZ;403,54;64,43;143,03;196,07
1997;2;Febbraio;7;O.C. ATZ;148,78;0,00;46,48;102,30
1997;2;Febbraio;8;O.C. denso BTZ;142,03;0,00;23,24;118,79
1997;3;Marzo;1;Benzina;944,48;150,80;527,96;265,72
1997;3;Marzo;2;Diesel;748,55;119,51;386,04;243,00
1997;3;Marzo;3;Gasolio riscaldamento;729,04;116,40;386,04;226,60
1997;3;Marzo;5;GPL;0,00;0,00;0,00;0,00
1997;3;Marzo;6;O.C. fluido BTZ;399,87;63,85;143,03;192,99
1997;3;Marzo;7;O.C. ATZ;145,99;0,00;46,48;99,51
1997;3;Marzo;8;O.C. denso BTZ;141,14;0,00;23,24;117,90
1997;4;Aprile;1;Benzina;939,78;150,05;527,96;261,77
1997;4;Aprile;2;Diesel;740,25;118,19;386,04;236,03
1997;4;Aprile;3;Gasolio riscaldamento;724,80;115,72;386,04;223,04
1997;4;Aprile;5;GPL;0,00;0,00;0,00;0,00
1997;4;Aprile;6;O.C. fluido BTZ;393,32;62,80;143,03;187,49
1997;4;Aprile;7;O.C. ATZ;144,78;0,00;46,48;98,30
1997;4;Aprile;8;O.C. denso BTZ;137,11;0,00;23,24;113,87
1997;5;Maggio;1;Benzina;939,35;149,98;527,96;261,41
1997;5;Maggio;2;Diesel;738,97;117,99;386,04;234,94
1997;5;Maggio;3;Gasolio riscaldamento;719,39;114,86;386,04;218,50
1997;5;Maggio;5;GPL;0,00;0,00;0,00;0,00
1997;5;Maggio;6;O.C. fluido BTZ;390,31;62,32;143,03;184,96
1997;5;Maggio;7;O.C. ATZ;143,20;0,00;46,48;96,72
1997;5;Maggio;8;O.C. denso BTZ;134,73;0,00;23,24;111,49
1997;6;Giugno;1;Benzina;940,80;150,21;527,96;262,62
1997;6;Giugno;2;Diesel;739,27;118,04;386,04;235,20
1997;6;Giugno;3;Gasolio riscaldamento;716,39;114,38;386,04;215,98
1997;6;Giugno;5;GPL;472,24;75,40;168,06;228,78
1997;6;Giugno;6;O.C. fluido BTZ;391,11;62,45;143,03;185,63
1997;6;Giugno;7;O.C. ATZ;142,06;0,00;46,48;95,58
1997;6;Giugno;8;O.C. denso BTZ;137,30;0,00;23,24;114,06
1997;7;Luglio;1;Benzina;939,19;149,95;527,96;261,27
1997;7;Luglio;2;Diesel;732,79;117,00;386,04;229,75
1997;7;Luglio;3;Gasolio riscaldamento;710,24;113,40;386,04;210,81
1997;7;Luglio;5;GPL;467,64;74,66;168,06;224,92
1997;7;Luglio;6;O.C. fluido BTZ;388,91;62,10;143,03;183,78
1997;7;Luglio;7;O.C. ATZ;142,28;0,00;46,48;95,80
1997;7;Luglio;8;O.C. denso BTZ;137,99;0,00;23,24;114,75
1997;8;Agosto;1;Benzina;947,07;151,21;527,96;267,89
1997;8;Agosto;2;Diesel;740,27;118,19;386,04;236,04
1997;8;Agosto;3;Gasolio riscaldamento;714,36;114,06;386,04;214,27
1997;8;Agosto;5;GPL;464,01;74,09;168,06;221,87
1997;8;Agosto;6;O.C. fluido BTZ;395,17;63,09;143,03;189,05
1997;8;Agosto;7;O.C. ATZ;149,15;0,00;46,48;102,67
1997;8;Agosto;8;O.C. denso BTZ;144,06;0,00;23,24;120,82
1997;9;Settembre;1;Benzina;945,20;150,91;527,96;266,33
1997;9;Settembre;2;Diesel;735,56;117,44;386,04;232,08
1997;9;Settembre;3;Gasolio riscaldamento;714,83;114,13;386,04;214,66
1997;9;Settembre;5;GPL;465,21;74,28;168,06;222,87
1997;9;Settembre;6;O.C. fluido BTZ;394,71;63,02;143,03;188,66
1997;9;Settembre;7;O.C. ATZ;149,46;0,00;46,48;102,98
1997;9;Settembre;8;O.C. denso BTZ;142,26;0,00;23,24;119,02
1997;10;Ottobre;1;Benzina;947,57;156,86;527,96;262,74
1997;10;Ottobre;2;Diesel;741,62;122,77;386,04;232,81
1997;10;Ottobre;3;Gasolio riscaldamento;728,32;120,58;386,04;221,71
1997;10;Ottobre;5;GPL;468,98;77,64;168,06;223,28
1997;10;Ottobre;6;O.C. fluido BTZ;403,05;66,73;143,03;193,29
1997;10;Ottobre;7;O.C. ATZ;155,68;0,00;46,48;109,20
1997;10;Ottobre;8;O.C. denso BTZ;145,86;0,00;23,24;122,62
1997;11;Novembre;1;Benzina;946,48;157,75;527,96;260,77
1997;11;Novembre;2;Diesel;746,64;124,44;386,04;236,17
1997;11;Novembre;3;Gasolio riscaldamento;737,00;122,83;386,04;228,13
1997;11;Novembre;5;GPL;475,90;79,32;168,06;228,53
1997;11;Novembre;6;O.C. fluido BTZ;410,74;68,46;143,03;199,25
1997;11;Novembre;7;O.C. ATZ;160,09;0,00;46,48;113,60
1997;11;Novembre;8;O.C. denso BTZ;154,75;0,00;23,24;131,51
1997;12;Dicembre;1;Benzina;935,79;155,96;527,96;251,86
1997;12;Dicembre;2;Diesel;746,98;124,50;386,04;236,45
1997;12;Dicembre;3;Gasolio riscaldamento;736,88;122,81;386,04;228,03
1997;12;Dicembre;5;GPL;476,81;79,47;168,06;229,28
1997;12;Dicembre;6;O.C. fluido BTZ;407,23;67,87;143,03;196,33
1997;12;Dicembre;7;O.C. ATZ;155,71;0,00;46,48;109,23
1997;12;Dicembre;8;O.C. denso BTZ;147,74;0,00;23,24;124,50
1997;13;Anno;1;Benzina;942,22;152,01;527,96;262,25
1997;13;Anno;2;Diesel;744,30;120,08;386,04;238,18
1997;13;Anno;3;Gasolio riscaldamento;726,04;117,15;386,04;222,85
1997;13;Anno;5;GPL;470,10;76,41;168,06;225,63
1997;13;Anno;6;O.C. fluido BTZ;398,59;64,32;143,03;191,24
1997;13;Anno;7;O.C. ATZ;150,77;0,00;46,48;104,29
1997;13;Anno;8;O.C. denso BTZ;143,09;0,00;23,24;119,85
1997;14;Primo Trimestre;1;Benzina;941,84;150,38;527,96;263,50
1997;14;Primo Trimestre;2;Diesel;756,66;120,81;386,04;249,81
1997;14;Primo Trimestre;3;Gasolio riscaldamento;736,99;117,67;386,04;233,28
1997;14;Primo Trimestre;5;GPL;0,00;0,00;0,00;0,00
1997;14;Primo Trimestre;6;O.C. fluido BTZ;402,92;64,33;143,03;195,56
1997;14;Primo Trimestre;8;O.C. denso BTZ;145,15;0,00;23,24;121,91
1997;15;Secondo Trimestre;1;Benzina;939,97;150,08;527,96;261,93
1997;15;Secondo Trimestre;2;Diesel;739,49;118,07;386,04;235,38
1997;15;Secondo Trimestre;3;Gasolio riscaldamento;720,18;114,99;386,04;219,15
1997;15;Secondo Trimestre;5;GPL;0,00;0,00;0,00;0,00
1997;15;Secondo Trimestre;6;O.C. fluido BTZ;391,57;62,52;143,03;186,02
1997;15;Secondo Trimestre;8;O.C. denso BTZ;136,36;0,00;23,24;113,12
1997;16;Terzo Trimestre;1;Benzina;943,81;150,69;527,96;265,16
1997;16;Terzo Trimestre;2;Diesel;736,21;117,54;386,04;232,63
1997;16;Terzo Trimestre;3;Gasolio riscaldamento;713,13;113,86;386,04;213,23
1997;16;Terzo Trimestre;5;GPL;0,00;0,00;0,00;0,00
1997;16;Terzo Trimestre;6;O.C. fluido BTZ;392,91;62,73;143,03;187,15
1997;16;Terzo Trimestre;8;O.C. denso BTZ;141,43;0,00;23,24;118,19
1997;17;Quarto Trimestre;1;Benzina;943,25;156,85;527,96;258,44
1997;17;Quarto Trimestre;2;Diesel;745,06;123,90;386,04;235,12
1997;17;Quarto Trimestre;3;Gasolio riscaldamento;734,03;122,07;386,04;225,92
1997;17;Quarto Trimestre;5;GPL;0,00;0,00;0,00;0,00
1997;17;Quarto Trimestre;6;O.C. fluido BTZ;406,97;67,68;143,03;196,26
1997;17;Quarto Trimestre;8;O.C. denso BTZ;149,39;0,00;23,24;126,15
1998;1;Gennaio;1;Benzina;930,69;155,11;527,96;247,61
1998;1;Gennaio;2;Diesel;738,48;123,08;386,04;229,37
1998;1;Gennaio;3;Gasolio riscaldamento;727,55;121,26;386,04;220,26
